Feature,Importance
HourlyRate,0.06192324048526467
DailyRate,0.06042344939511253
MonthlyIncome,0.0580523909956496
JobRole_Encoded,0.05508385516273487
Age,0.051968500354543916
MonthlyRate,0.05136518855397398
SalaryToJobLevel,0.0510124804968556
DistanceFromHome,0.050629211240432154
TotalWorkingYears,0.04522900577364764
TenureToAge,0.04422909161055893
PercentSalaryHike,0.037817238105084264
SatisfactionScore,0.0326624393264112
NumCompaniesWorked,0.029911331260472126
YearsAtCompany,0.029691734876965494
RelationshipSatisfaction,0.029137749536604907
TrainingTimesLastYear,0.028443716127773074
PromotionGap,0.024910648094316454
EnvironmentSatisfaction,0.02380303715078639
Department_Encoded,0.022064453627482085
JobInvolvement,0.020842792101728982
Education,0.020283647025478677
StockOptionLevel,0.019524395655827434
EducationField_Encoded,0.018931665485945423
WorkLifeBalance,0.01806125205863622
YearsInCurrentRole,0.015913584999943532
BusinessTravel_Encoded,0.015619819511214763
JobSatisfaction,0.01462724982729314
MaritalStatus_Encoded,0.013273530899862598
YearsWithCurrManager,0.011127482563550894
YearsSinceLastPromotion,0.009431732992077214
OverTime_Encoded,0.009153610216547125
Gender_Encoded,0.009100664719203858
JobLevel,0.008999095673340398
PerformanceRating,0.006750714094679808
