EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobLevel,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,DistanceFromHome,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,TrainingTimesLastYear,OverTime,BusinessTravel,StockOptionLevel,AttritionRisk,Attrition
EMP0001,41,Male,Single,Operations,Logistics Coordinator,3,Bachelor,3,1,1,0,13,4,2,83884,554,4367,82096,19,17,3,3,4,2,4,3,0,No,Travel_Rarely,0,45,No
EMP0002,35,Female,Married,Human Resources,HR Manager,2,College,4,1,0,0,12,3,3,92013,637,4649,93373,11,18,3,2,1,2,3,3,3,No,Travel_Rarely,0,75,No
EMP0003,43,Male,Divorced,IT,IT Manager,2,College,2,0,0,0,5,2,5,157345,928,7891,155118,11,12,3,3,2,4,1,3,1,No,Non-Travel,0,100,No
EMP0004,52,Male,Divorced,Finance,Accountant,3,Bachelor,3,1,0,0,11,4,5,211394,1151,8920,212606,16,2,2,3,1,3,3,3,1,No,Non-Travel,3,55,No
EMP0005,34,Male,Married,Research & Development,Research Director,2,College,2,0,0,0,3,2,2,75214,414,3585,74555,17,12,3,3,4,2,4,3,0,Yes,Travel_Rarely,0,120,No
EMP0006,34,Male,Married,Research & Development,Laboratory Technician,1,Below College,5,1,1,0,17,2,2,83053,417,3105,80303,11,2,3,1,4,2,2,3,1,No,Travel_Rarely,2,75,Yes
EMP0007,52,Female,Single,Finance,Finance Manager,4,Master,11,4,2,3,21,3,1,59213,347,2530,56690,11,2,4,4,2,2,4,3,3,Yes,Non-Travel,1,90,Yes
EMP0008,44,Female,Divorced,Research & Development,Laboratory Technician,1,Below College,0,0,0,0,4,2,3,101971,533,4248,99281,11,7,2,1,2,3,2,3,5,No,Travel_Rarely,0,125,No
EMP0009,32,Female,Divorced,Finance,Accountant,3,Bachelor,2,1,0,0,12,6,1,64358,373,2798,61511,11,11,2,4,2,4,3,3,2,Yes,Non-Travel,0,135,No
EMP0010,42,Male,Married,Operations,Operations Manager,3,Bachelor,0,0,0,0,1,0,1,52633,345,3001,53257,12,1,2,1,3,2,3,3,1,No,Travel_Rarely,1,115,Yes
EMP0011,32,Male,Divorced,Human Resources,Recruiter,5,Doctorate,4,3,0,2,14,6,3,136116,984,7101,140141,17,1,2,3,3,4,2,4,1,No,Non-Travel,3,50,No
EMP0012,32,Male,Married,IT,IT Manager,3,Bachelor,6,3,2,2,6,3,1,60529,429,3372,59558,11,15,2,3,3,2,4,3,1,Yes,Travel_Rarely,0,115,Yes
EMP0013,39,Male,Married,Finance,Accountant,1,Below College,13,6,2,4,25,4,1,63161,355,3082,62447,18,19,2,3,4,2,3,4,2,No,Travel_Rarely,0,75,No
EMP0014,18,Male,Single,Finance,Financial Analyst,3,Bachelor,1,0,0,0,14,2,3,119260,636,4970,123030,12,9,3,1,1,4,2,3,5,No,Travel_Rarely,0,160,No
EMP0015,19,Male,Married,Research & Development,Research Scientist,4,Master,14,7,2,6,18,1,1,56176,307,2256,54617,13,5,4,2,4,2,3,4,2,No,Travel_Frequently,0,110,No
EMP0016,31,Male,Married,Sales,Sales Executive,5,Doctorate,0,0,0,0,1,4,1,52906,392,3012,50891,19,18,2,3,2,4,3,3,0,No,Non-Travel,2,115,No
EMP0017,26,Male,Married,Research & Development,Research Scientist,3,Bachelor,4,1,0,0,17,0,1,52679,335,2678,52684,21,13,4,4,2,3,2,3,3,Yes,Travel_Frequently,1,115,Yes
EMP0018,40,Female,Married,IT,IT Support,3,Bachelor,0,0,0,0,12,5,1,49416,269,2016,50138,11,8,4,3,3,1,4,3,2,Yes,Travel_Rarely,0,135,No
EMP0019,27,Female,Divorced,Research & Development,Laboratory Technician,5,Doctorate,11,8,4,4,17,2,1,59066,419,3329,59654,11,3,4,2,4,3,2,4,1,Yes,Non-Travel,3,110,Yes
EMP0020,22,Female,Single,IT,IT Manager,2,College,3,1,1,0,10,3,3,114589,686,5857,117039,13,2,4,1,3,3,2,3,4,No,Travel_Rarely,0,105,No
EMP0021,51,Female,Married,Research & Development,Laboratory Technician,4,Master,5,2,1,1,6,0,1,52773,382,3283,50433,11,5,3,3,4,4,2,3,5,No,Travel_Frequently,1,75,No
EMP0022,34,Male,Married,IT,Developer,3,Bachelor,8,5,3,3,14,2,3,127152,718,5226,126239,11,3,3,2,4,3,2,3,4,No,Travel_Rarely,1,45,No
EMP0023,37,Female,Married,Sales,Sales Executive,1,Below College,0,0,0,0,3,2,1,50087,299,2229,48777,14,4,3,1,2,3,3,3,0,No,Travel_Rarely,0,145,No
EMP0024,22,Female,Married,IT,Developer,3,Bachelor,0,0,0,0,0,1,2,68858,431,3293,70642,11,7,3,3,4,2,4,3,4,Yes,Travel_Frequently,0,145,No
EMP0025,31,Male,Single,Research & Development,Research Director,2,College,10,6,2,3,20,5,3,112103,810,6602,116281,15,1,4,3,4,3,2,3,1,No,Travel_Rarely,0,70,No
EMP0026,38,Male,Single,Sales,Sales Executive,4,Master,1,0,0,0,15,3,3,107414,770,5988,105065,23,16,3,1,3,2,2,3,1,No,Travel_Rarely,3,110,No
EMP0027,25,Female,Married,Research & Development,Laboratory Technician,5,Doctorate,0,0,0,0,2,2,2,94907,610,5215,91065,14,1,1,1,3,1,2,3,3,No,Travel_Frequently,2,150,No
EMP0028,40,Male,Married,IT,Developer,2,College,3,1,0,0,13,1,4,150974,838,6994,147251,11,6,3,3,4,4,3,3,2,No,Travel_Rarely,0,45,No
